City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Scarborough,GB,54.28,-0.4,46.99,88,23,6.33,few clouds
334,Yenagoa,NG,4.92,6.26,74.71,93,100,3.8,light rain
335,Bairiki,KI,1.33,172.98,86.0,66,20,8.05,few clouds
336,Babaeski,TR,41.43,27.09,71.87,77,0,2.35,clear sky
337,Riyadh,SA,24.69,46.72,82.4,26,25,4.0,scattered clouds
338,Lorengau,PG,-2.02,147.27,82.35,82,6,11.36,light rain
339,Igarka,RU,67.47,86.58,44.49,95,2,9.91,clear sky
340,Kirakira,SB,-10.45,161.92,83.48,75,100,13.0,overcast clouds
341,Altay,CN,47.87,88.12,53.58,56,0,2.42,clear sky
342,Caravelas,BR,-17.71,-39.25,71.92,88,0,5.46,clear sky
343,Loubomo,CG,-4.2,12.67,70.23,85,30,6.15,scattered clouds
344,Tacuarembo,UY,-31.73,-55.98,46.27,74,24,7.07,few clouds
345,Eureka,US,40.8,-124.16,75.99,43,1,13.87,clear sky
346,Muros,ES,42.78,-9.06,59.0,73,49,1.01,scattered clouds
347,Khani,GE,41.96,42.96,64.4,100,0,1.12,clear sky
348,Mazagao,BR,-0.12,-51.29,80.6,100,75,4.7,broken clouds
349,Skelleftea,SE,64.75,20.95,51.8,87,96,5.82,overcast clouds
350,Ankazoabo,MG,-22.28,44.52,67.55,64,7,6.04,clear sky
351,Shache,CN,38.42,77.24,61.95,39,70,5.95,broken clouds
352,Ojinaga,MX,29.57,-104.42,105.8,14,1,3.36,clear sky
353,Gonc,HU,48.47,21.28,75.2,60,39,4.7,scattered clouds
354,Vanavara,RU,60.34,102.28,46.71,94,2,3.22,clear sky
355,Torrington,US,41.8,-73.12,71.01,59,0,5.99,clear sky
356,Tateyama,JP,34.98,139.87,84.99,93,89,2.28,overcast clouds
357,Pafos,CY,34.77,32.42,73.0,52,0,9.19,clear sky
358,Galeana,MX,24.83,-100.07,80.15,49,8,9.53,light rain
359,Hidalgotitlan,MX,17.78,-94.63,95.0,50,5,11.41,clear sky
360,Raudeberg,NO,61.99,5.14,51.01,78,0,12.71,clear sky
361,Tiznit,MA,29.58,-9.5,78.08,39,0,2.08,clear sky
362,Gitega,BI,-3.5,29.95,62.31,67,2,1.9,clear sky
